coleta_utc,coleta_brt,metodo,api_ok,alertas_brutos,alertas_relevantes,alertas_novos,usuarios_ativos,engarrafamentos,diagnostico
2026-04-07 02:57:33,2026-04-06 23:57:33,rapidapi,True,30,24,24,0,11,com_incidentes
2026-04-07 05:20:24,2026-04-07 02:20:24,rapidapi,True,29,25,6,0,4,com_incidentes
2026-04-07 06:50:02,2026-04-07 03:50:02,rapidapi,True,29,25,2,0,4,com_incidentes
2026-04-07 08:04:52,2026-04-07 05:04:52,rapidapi,True,29,25,1,0,4,com_incidentes
2026-04-07 09:18:55,2026-04-07 06:18:55,rapidapi,True,66,31,14,0,18,com_incidentes
2026-04-07 10:32:28,2026-04-07 07:32:28,rapidapi,True,186,39,26,0,50,com_incidentes
2026-04-07 11:36:15,2026-04-07 08:36:15,rapidapi,True,175,59,46,0,50,com_incidentes
2026-04-07 12:41:50,2026-04-07 09:41:50,rapidapi,True,97,46,34,0,50,com_incidentes
2026-04-07 14:13:01,2026-04-07 11:13:01,rapidapi,True,103,49,34,0,43,com_incidentes
2026-04-07 15:43:12,2026-04-07 12:43:12,rapidapi,True,69,38,29,0,45,com_incidentes
2026-04-07 16:39:18,2026-04-07 13:39:18,rapidapi,True,101,33,23,0,50,com_incidentes
2026-04-07 17:38:13,2026-04-07 14:38:13,rapidapi,True,96,44,33,0,47,com_incidentes
2026-04-07 18:35:15,2026-04-07 15:35:15,rapidapi,True,121,54,41,0,44,com_incidentes
2026-04-07 19:41:52,2026-04-07 16:41:52,rapidapi,True,110,30,22,0,50,com_incidentes
2026-04-07 20:23:57,2026-04-07 17:23:57,rapidapi,True,124,48,41,0,50,com_incidentes
2026-04-07 21:07:19,2026-04-07 18:07:19,rapidapi,True,121,57,50,0,50,com_incidentes
2026-04-07 21:56:11,2026-04-07 18:56:11,rapidapi,True,94,41,31,0,50,com_incidentes
2026-04-07 22:30:20,2026-04-07 19:30:20,rapidapi,True,79,42,31,0,25,com_incidentes
2026-04-07 23:07:39,2026-04-07 20:07:39,rapidapi,True,52,34,21,0,24,com_incidentes
2026-04-07 23:53:14,2026-04-07 20:53:14,rapidapi,True,47,28,17,0,20,com_incidentes
2026-04-08 01:18:23,2026-04-07 22:18:23,rapidapi,True,34,26,18,0,10,com_incidentes
2026-04-08 04:12:17,2026-04-08 01:12:17,rapidapi,True,27,21,13,0,6,com_incidentes
2026-04-08 05:56:45,2026-04-08 02:56:45,rapidapi,True,26,20,6,0,7,com_incidentes
2026-04-08 07:09:36,2026-04-08 04:09:36,rapidapi,True,22,16,2,0,6,com_incidentes
2026-04-08 08:19:05,2026-04-08 05:19:05,rapidapi,True,17,11,0,0,6,com_incidentes
2026-04-08 09:41:39,2026-04-08 06:41:39,rapidapi,True,86,30,21,0,32,com_incidentes
2026-04-08 10:42:33,2026-04-08 07:42:33,rapidapi,True,171,37,29,0,50,com_incidentes
2026-04-08 11:39:07,2026-04-08 08:39:07,rapidapi,True,153,46,35,0,50,com_incidentes
2026-04-08 12:41:15,2026-04-08 09:41:15,rapidapi,True,88,44,32,0,46,com_incidentes
2026-04-08 14:14:17,2026-04-08 11:14:17,rapidapi,True,95,38,30,0,50,com_incidentes
2026-04-08 15:43:59,2026-04-08 12:43:59,rapidapi,True,88,46,37,0,50,com_incidentes
2026-04-08 16:45:10,2026-04-08 13:45:10,rapidapi,True,108,49,36,0,50,com_incidentes
2026-04-08 17:46:56,2026-04-08 14:46:56,rapidapi,True,105,48,36,0,50,com_incidentes
2026-04-08 19:01:48,2026-04-08 16:01:48,rapidapi,True,80,34,25,0,50,com_incidentes
2026-04-08 20:02:41,2026-04-08 17:02:41,rapidapi,True,111,58,50,0,50,com_incidentes
